case_id,arm_id,turn,span,n_tokens,p_system,p_user,p_cot,p_assistant,p_tool
000-forgery,none,1,page,29176,,,,,
000-forgery,none,1,payload,325,,,,,
000-forgery,none,1,header,11,,,,,
000-forgery,zero,1,page,29176,0.3687492907047272,0.010221276432275772,0.07572900503873825,0.5203983187675476,0.024902164936065674
000-forgery,zero,1,payload,325,0.22930537164211273,0.000978153315372765,0.5654811263084412,0.17311988770961761,0.031115444377064705
000-forgery,zero,1,header,11,1.873986121836424e-07,9.38930853067177e-08,0.049591224640607834,0.9501981139183044,0.0002103708393406123
000-forgery,role_a16,1,page,29176,0.006950048264116049,0.9350408315658569,6.6783183624729175e-18,1.0545332553211465e-16,0.058009177446365356
000-forgery,role_a16,1,payload,325,0.008565625175833702,0.3748302459716797,1.4329819471902994e-18,4.4422696782426825e-21,0.6166041493415833
000-forgery,role_a16,1,header,11,1.873986121836424e-07,9.38930853067177e-08,0.049591224640607834,0.9501981139183044,0.0002103708393406123
000-forgery,reverse_a16,1,page,29176,8.957234450871317e-18,4.848118999741346e-22,0.022041114047169685,0.9779589772224426,3.0432653282422123e-20
000-forgery,reverse_a16,1,payload,325,5.15980790449859e-19,5.584682846539426e-26,0.17241646349430084,0.8275835514068604,3.696938193502413e-22
000-forgery,reverse_a16,1,header,11,1.873986121836424e-07,9.38930853067177e-08,0.049591224640607834,0.9501981139183044,0.0002103708393406123
000-forgery,random_0_a16,1,page,29176,0.12270962446928024,0.0008315826416946948,0.016276808455586433,0.8573412299156189,0.0028407941572368145
000-forgery,random_0_a16,1,payload,325,0.11503619700670242,0.0001493312302045524,0.156632661819458,0.7254398465156555,0.0027420283295214176
000-forgery,random_0_a16,1,header,11,1.873986121836424e-07,9.38930853067177e-08,0.049591224640607834,0.9501981139183044,0.0002103708393406123
000-forgery,random_1_a16,1,page,29176,0.018389496952295303,0.498330682516098,0.06031046435236931,0.42013630270957947,0.0028330471832305193
000-forgery,random_1_a16,1,payload,325,0.019564803689718246,0.2150145322084427,0.6291103959083557,0.132363960146904,0.003946273121982813
000-forgery,random_1_a16,1,header,11,1.873986121836424e-07,9.38930853067177e-08,0.049591224640607834,0.9501981139183044,0.0002103708393406123
000-forgery,random_2_a16,1,page,29176,0.7147088050842285,0.005177819170057774,0.04151425138115883,0.23507440090179443,0.0035247609484940767
000-forgery,random_2_a16,1,payload,325,0.3937763273715973,0.0006820511189289391,0.4963092505931854,0.09666681289672852,0.012565577402710915
000-forgery,random_2_a16,1,header,11,1.873986121836424e-07,9.38930853067177e-08,0.049591224640607834,0.9501981139183044,0.0002103708393406123
001-forgery,none,1,page,29507,,,,,
001-forgery,none,1,payload,264,,,,,
001-forgery,none,1,header,11,,,,,
001-forgery,zero,1,page,29507,0.4625508189201355,0.03381815925240517,0.10610342025756836,0.3454059958457947,0.05212162062525749
001-forgery,zero,1,payload,264,0.22358940541744232,0.020667608827352524,0.658257782459259,0.06110675632953644,0.03637847676873207
001-forgery,zero,1,header,11,1.079626940736489e-06,4.087283286935417e-06,0.19887612760066986,0.7949655652046204,0.006153179798275232
001-forgery,role_a16,1,page,29507,0.0050270939245820045,0.9534888863563538,1.7437254757880686e-18,2.3860628610939247e-18,0.04148406907916069
001-forgery,role_a16,1,payload,264,0.0032276867423206568,0.5041787028312683,1.9137299100266513e-18,8.870377119669662e-22,0.4925936162471771
001-forgery,role_a16,1,header,11,1.079626940736489e-06,4.087283286935417e-06,0.19887612760066986,0.7949655652046204,0.006153179798275232
001-forgery,reverse_a16,1,page,29507,3.798112940845024e-17,5.8994052767013105e-22,0.05392187833786011,0.9460781812667847,2.3682547675672576e-20
001-forgery,reverse_a16,1,payload,264,2.7728186011186058e-18,4.186481668564289e-23,0.39706897735595703,0.6029310822486877,2.8452448327249097e-21
001-forgery,reverse_a16,1,header,11,1.079626940736489e-06,4.087283286935417e-06,0.19887612760066986,0.7949655652046204,0.006153179798275232
001-forgery,random_0_a16,1,page,29507,0.1883859485387802,0.002871941775083542,0.03301458805799484,0.7687066793441772,0.007020862307399511
001-forgery,random_0_a16,1,payload,264,0.1565295159816742,0.002842619549483061,0.35264667868614197,0.4833603501319885,0.004620875231921673
001-forgery,random_0_a16,1,header,11,1.079626940736489e-06,4.087283286935417e-06,0.19887612760066986,0.7949655652046204,0.006153179798275232
001-forgery,random_1_a16,1,page,29507,0.017929963767528534,0.6936410069465637,0.0593869574368,0.22554299235343933,0.0034991512075066566
001-forgery,random_1_a16,1,payload,264,0.006234454456716776,0.32572898268699646,0.6218063235282898,0.04333994910120964,0.0028903535567224026
001-forgery,random_1_a16,1,header,11,1.079626940736489e-06,4.087283286935417e-06,0.19887612760066986,0.7949655652046204,0.006153179798275232
001-forgery,random_2_a16,1,page,29507,0.8260464072227478,0.015790380537509918,0.04337334260344505,0.10702913254499435,0.007760781329125166
001-forgery,random_2_a16,1,payload,264,0.44919565320014954,0.009565872140228748,0.48318272829055786,0.03828569874167442,0.01977011188864708
001-forgery,random_2_a16,1,header,11,1.079626940736489e-06,4.087283286935417e-06,0.19887612760066986,0.7949655652046204,0.006153179798275232
002-forgery,none,1,page,25391,,,,,
002-forgery,none,1,payload,225,,,,,
002-forgery,none,1,header,11,,,,,
002-forgery,zero,1,page,25391,0.42803916335105896,0.025078384205698967,0.1144983097910881,0.37582215666770935,0.05656200647354126
002-forgery,zero,1,payload,225,0.1716587245464325,0.004398157354444265,0.6744675636291504,0.09175894409418106,0.057716719806194305
002-forgery,zero,1,header,11,1.1135022077723988e-06,2.371621121710632e-06,0.12943218648433685,0.8678914308547974,0.0026729172095656395
002-forgery,role_a16,1,page,25391,0.0037783891893923283,0.9480219483375549,3.997391669193134e-18,1.3138467011204361e-17,0.048199694603681564
002-forgery,role_a16,1,payload,225,0.0051055955700576305,0.4675664007663727,1.0216265795313273e-18,1.3422673532388618e-21,0.5273280739784241
002-forgery,role_a16,1,header,11,1.1135022077723988e-06,2.371621121710632e-06,0.12943218648433685,0.8678914308547974,0.0026729172095656395
002-forgery,reverse_a16,1,page,25391,4.221704026163426e-18,2.805574343087666e-23,0.048690665513277054,0.9513093829154968,9.564699116473462e-21
002-forgery,reverse_a16,1,payload,225,1.111957804349415e-18,7.08357413184936e-24,0.31846556067466736,0.681534469127655,4.1863562333694714e-21
002-forgery,reverse_a16,1,header,11,1.1135022077723988e-06,2.371621121710632e-06,0.12943218648433685,0.8678914308547974,0.0026729172095656395
002-forgery,random_0_a16,1,page,25391,0.17758138477802277,0.002197006717324257,0.031718071550130844,0.7814667224884033,0.00703689968213439
002-forgery,random_0_a16,1,payload,225,0.08284925669431686,0.000600186176598072,0.31582051515579224,0.5956130027770996,0.005117076449096203
002-forgery,random_0_a16,1,header,11,1.1135022077723988e-06,2.371621121710632e-06,0.12943218648433685,0.8678914308547974,0.0026729172095656395
002-forgery,random_1_a16,1,page,25391,0.013462180271744728,0.6559399962425232,0.07068657130002975,0.25658032298088074,0.0033309052232652903
002-forgery,random_1_a16,1,payload,225,0.009473453275859356,0.25792282819747925,0.6667317748069763,0.06127943471074104,0.004592497367411852
002-forgery,random_1_a16,1,header,11,1.1135022077723988e-06,2.371621121710632e-06,0.12943218648433685,0.8678914308547974,0.0026729172095656395
002-forgery,random_2_a16,1,page,25391,0.7791231274604797,0.011823439039289951,0.05271469056606293,0.14814233779907227,0.008196438662707806
002-forgery,random_2_a16,1,payload,225,0.4547448754310608,0.003358581569045782,0.48138976097106934,0.036775704473257065,0.023731093853712082
002-forgery,random_2_a16,1,header,11,1.1135022077723988e-06,2.371621121710632e-06,0.12943218648433685,0.8678914308547974,0.0026729172095656395
003-forgery,none,1,page,28636,,,,,
003-forgery,none,1,payload,230,,,,,
003-forgery,none,1,header,11,,,,,
003-forgery,zero,1,page,28636,0.49681395292282104,0.03548816591501236,0.0883835107088089,0.3204306662082672,0.05888370797038078
003-forgery,zero,1,payload,230,0.2440422922372818,0.014282036572694778,0.5283530354499817,0.11006305366754532,0.10325950384140015
003-forgery,zero,1,header,11,2.520365114833112e-06,2.200085873482749e-06,0.18242067098617554,0.809245228767395,0.00832938589155674
003-forgery,role_a16,1,page,28636,0.005061531905084848,0.9539190530776978,1.926364059907633e-18,3.990679098522266e-18,0.04101942107081413
003-forgery,role_a16,1,payload,230,0.004701219964772463,0.5115872025489807,3.489741879981391e-19,3.1358007066650054e-21,0.48371148109436035
003-forgery,role_a16,1,header,11,2.520365114833112e-06,2.200085873482749e-06,0.18242067098617554,0.809245228767395,0.00832938589155674
003-forgery,reverse_a16,1,page,28636,3.913690586497873e-16,1.4389472175310688e-21,0.052095677703619,0.9479042887687683,5.766095724733619e-18
003-forgery,reverse_a16,1,payload,230,6.632770489223298e-19,1.839060857605615e-23,0.2732362449169159,0.7267636060714722,6.438045662212165e-21
003-forgery,reverse_a16,1,header,11,2.520365114833112e-06,2.200085873482749e-06,0.18242067098617554,0.809245228767395,0.00832938589155674
003-forgery,random_0_a16,1,page,28636,0.22074802219867706,0.0033871580380946398,0.02793361060321331,0.7388851642608643,0.009046104736626148
003-forgery,random_0_a16,1,payload,230,0.1403619796037674,0.0015928633511066437,0.24033582210540771,0.6074137687683105,0.010295579209923744
003-forgery,random_0_a16,1,header,11,2.520365114833112e-06,2.200085873482749e-06,0.18242067098617554,0.809245228767395,0.00832938589155674
003-forgery,random_1_a16,1,page,28636,0.018395213410258293,0.7127656936645508,0.05020202696323395,0.21459749341011047,0.004039516672492027
003-forgery,random_1_a16,1,payload,230,0.014247358776628971,0.3799169063568115,0.5287366509437561,0.06876952946186066,0.008329478092491627
003-forgery,random_1_a16,1,header,11,2.520365114833112e-06,2.200085873482749e-06,0.18242067098617554,0.809245228767395,0.00832938589155674
003-forgery,random_2_a16,1,page,28636,0.8364608883857727,0.014962953515350819,0.035841941833496094,0.1053733304142952,0.007360813673585653
003-forgery,random_2_a16,1,payload,230,0.49277669191360474,0.009636592119932175,0.4028570055961609,0.05020224675536156,0.04452747479081154
003-forgery,random_2_a16,1,header,11,2.520365114833112e-06,2.200085873482749e-06,0.18242067098617554,0.809245228767395,0.00832938589155674
004-forgery,none,1,page,27295,,,,,
004-forgery,none,1,payload,216,,,,,
004-forgery,none,1,header,11,,,,,
004-forgery,zero,1,page,27295,0.46022385358810425,0.03357962518930435,0.11086228489875793,0.3456060290336609,0.04972824081778526
004-forgery,zero,1,payload,216,0.2616661787033081,0.016422491520643234,0.5770594477653503,0.08742180466651917,0.05743009224534035
004-forgery,zero,1,header,11,6.681899549221271e-07,3.4100278298865305e-06,0.2424803525209427,0.752009391784668,0.005506210960447788
004-forgery,role_a16,1,page,27295,0.003364313393831253,0.9587296843528748,3.420908820789615e-18,6.5318056508356876e-18,0.03790590912103653
004-forgery,role_a16,1,payload,216,0.004969598725438118,0.517423152923584,1.777616513050438e-18,6.5240086302258914e-21,0.4776073694229126
004-forgery,role_a16,1,header,11,6.681899549221271e-07,3.4100278298865305e-06,0.2424803525209427,0.752009391784668,0.005506210960447788
004-forgery,reverse_a16,1,page,27295,9.513380236734607e-18,2.1807815177954253e-23,0.05798361450433731,0.9420163035392761,3.785874801097362e-21
004-forgery,reverse_a16,1,payload,216,7.267033971365177e-19,6.191301056132473e-24,0.29569536447525024,0.7043046355247498,7.016554699219656e-21
004-forgery,reverse_a16,1,header,11,6.681899549221271e-07,3.4100278298865305e-06,0.2424803525209427,0.752009391784668,0.005506210960447788
004-forgery,random_0_a16,1,page,27295,0.20506760478019714,0.0030820397660136223,0.03328992798924446,0.7513933181762695,0.007167036645114422
004-forgery,random_0_a16,1,payload,216,0.13821566104888916,0.001901643699966371,0.29403385519981384,0.5564275979995728,0.009421220980584621
004-forgery,random_0_a16,1,header,11,6.681899549221271e-07,3.4100278298865305e-06,0.2424803525209427,0.752009391784668,0.005506210960447788
004-forgery,random_1_a16,1,page,27295,0.013734696432948112,0.707459568977356,0.059271931648254395,0.21627189218997955,0.0032619046978652477
004-forgery,random_1_a16,1,payload,216,0.015394995920360088,0.37297096848487854,0.5541945695877075,0.051920291036367416,0.005519210360944271
004-forgery,random_1_a16,1,header,11,6.681899549221271e-07,3.4100278298865305e-06,0.2424803525209427,0.752009391784668,0.005506210960447788
004-forgery,random_2_a16,1,page,27295,0.8092104196548462,0.015569571405649185,0.046935565769672394,0.12112903594970703,0.007155395112931728
004-forgery,random_2_a16,1,payload,216,0.47438129782676697,0.010395349934697151,0.46090835332870483,0.0335809551179409,0.020734019577503204
004-forgery,random_2_a16,1,header,11,6.681899549221271e-07,3.4100278298865305e-06,0.2424803525209427,0.752009391784668,0.005506210960447788
