family,space,layer,condition,kind,pos_bucket,mean,lo,hi,n_prompts
base,suca,8,own_cot,raw_user,0,0.881381630897522,0.7830970287322998,0.9796662330627441,2
base,suca,8,own_cot,raw_user,10,0.22950126230716705,0.1523592174053192,0.3066433072090149,2
base,suca,8,own_cot,raw_user,20,0.019197291636373848,0.0008204224286600947,0.0375741608440876,2
base,suca,8,own_cot,raw_user,30,0.009905845450703055,0.0005300092743709683,0.01928168162703514,2
base,suca,8,own_cot,raw_user,40,0.008451668254565448,0.00010866427328437567,0.01679467223584652,2
base,suca,8,own_cot,raw_user,50,0.024821416809572838,0.0001358191657345742,0.0495070144534111,2
base,suca,8,own_cot,raw_user,60,0.01266386445831813,1.160413467005128e-05,0.02531612478196621,2
base,suca,8,own_cot,raw_user,70,0.007172225974500179,0.007172225974500179,0.007172225974500179,1
base,suca,8,own_cot,raw_user,80,0.025488922372460365,0.025488922372460365,0.025488922372460365,1
base,suca,8,own_cot,raw_user,90,0.03566161170601845,0.03566161170601845,0.03566161170601845,1
base,suca,8,own_cot,raw_assistant,0,0.00024294937611557543,0.00014188987552188337,0.0003440088767092675,2
base,suca,8,own_cot,raw_assistant,10,0.008685906417667866,0.005477821454405785,0.011893991380929947,2
base,suca,8,own_cot,raw_assistant,20,0.2850821018218994,0.1188197135925293,0.45134449005126953,2
base,suca,8,own_cot,raw_assistant,30,0.3402843028306961,0.2603166103363037,0.4202519953250885,2
base,suca,8,own_cot,raw_assistant,40,0.45086871087551117,0.4196026921272278,0.48213472962379456,2
base,suca,8,own_cot,raw_assistant,50,0.501530647277832,0.44211262464523315,0.5609486699104309,2
base,suca,8,own_cot,raw_assistant,60,0.2622912973165512,0.12611818313598633,0.3984644114971161,2
base,suca,8,own_cot,raw_assistant,70,0.15429408848285675,0.15429408848285675,0.15429408848285675,1
base,suca,8,own_cot,raw_assistant,80,0.47431331872940063,0.47431331872940063,0.47431331872940063,1
base,suca,8,own_cot,raw_assistant,90,0.5636005997657776,0.5636005997657776,0.5636005997657776,1
base,suca,8,own_cot,minus_null,0,0.11535975802689791,0.015077942982316017,0.2156415730714798,2
base,suca,8,own_cot,minus_null,10,0.7537519037723541,0.6861706972122192,0.821333110332489,2
base,suca,8,own_cot,minus_null,20,0.6737898290157318,0.5050878524780273,0.8424918055534363,2
base,suca,8,own_cot,minus_null,30,0.6199698150157928,0.5593301653862,0.6806094646453857,2
base,suca,8,own_cot,minus_null,40,0.536615639925003,0.5098837614059448,0.5633475184440613,2
base,suca,8,own_cot,minus_null,50,0.46034128963947296,0.41302385926246643,0.5076587200164795,2
base,suca,8,own_cot,minus_null,60,0.7209346294403076,0.5758129954338074,0.8660562634468079,2
base,suca,8,own_cot,minus_null,70,0.8384040594100952,0.8384040594100952,0.8384040594100952,1
base,suca,8,own_cot,minus_null,80,0.49818187952041626,0.49818187952041626,0.49818187952041626,1
base,suca,8,own_cot,minus_null,90,0.39860740303993225,0.39860740303993225,0.39860740303993225,1
base,suca,8,shuffled,raw,0,0.004838688648305833,0.0032394633162766695,0.006437913980334997,2
base,suca,8,shuffled,raw,10,0.025879021733999252,0.025371167808771133,0.02638687565922737,2
base,suca,8,shuffled,raw,20,0.09380532335489988,0.02226952277123928,0.16534112393856049,2
base,suca,8,shuffled,raw,30,0.23503227811306715,0.01676264964044094,0.45330190658569336,2
base,suca,8,shuffled,raw,40,0.34954337775707245,0.032586902379989624,0.6664998531341553,2
base,suca,8,shuffled,raw,50,0.18055708333849907,0.038302741944789886,0.32281142473220825,2
base,suca,8,shuffled,raw,60,0.10053315758705139,0.06298138201236725,0.13808493316173553,2
base,suca,8,shuffled,raw,70,0.0873153954744339,0.0873153954744339,0.0873153954744339,1
base,suca,8,shuffled,raw,80,0.12715724110603333,0.12715724110603333,0.12715724110603333,1
base,suca,8,shuffled,raw,90,0.25808781385421753,0.25808781385421753,0.25808781385421753,1
base,suca,8,shuffled,raw_system,0,0.0017785107484087348,0.001103053567931056,0.0024539679288864136,2
base,suca,8,shuffled,raw_system,10,0.008416968863457441,0.002742679789662361,0.014091257937252522,2
base,suca,8,shuffled,raw_system,20,0.004038684186525643,0.0033453155774623156,0.00473205279558897,2
base,suca,8,shuffled,raw_system,30,0.0038204110169317573,0.0006258871289901435,0.007014934904873371,2
base,suca,8,shuffled,raw_system,40,0.0039024069847073406,0.0008738531614653766,0.006930960807949305,2
base,suca,8,shuffled,raw_system,50,0.0049601763021200895,0.003715153783559799,0.00620519882068038,2
base,suca,8,shuffled,raw_system,60,0.012343738810159266,0.0018547356594353914,0.02283274196088314,2
base,suca,8,shuffled,raw_system,70,0.0014108710456639528,0.0014108710456639528,0.0014108710456639528,1
base,suca,8,shuffled,raw_system,80,0.002792606595903635,0.002792606595903635,0.002792606595903635,1
base,suca,8,shuffled,raw_system,90,0.0027764425612986088,0.0027764425612986088,0.0027764425612986088,1
base,suca,8,shuffled,raw_user,0,0.9930752813816071,0.9919705390930176,0.9941800236701965,2
base,suca,8,shuffled,raw_user,10,0.9622229337692261,0.95557701587677,0.9688688516616821,2
base,suca,8,shuffled,raw_user,20,0.898536890745163,0.8244503140449524,0.9726234674453735,2
base,suca,8,shuffled,raw_user,30,0.7183131873607635,0.45502275228500366,0.9816036224365234,2
base,suca,8,shuffled,raw_user,40,0.6163568794727325,0.26735949516296387,0.9653542637825012,2
base,suca,8,shuffled,raw_user,50,0.7986472547054291,0.6453312039375305,0.9519633054733276,2
base,suca,8,shuffled,raw_user,60,0.8708735704421997,0.8098000884056091,0.9319470524787903,2
base,suca,8,shuffled,raw_user,70,0.9092034101486206,0.9092034101486206,0.9092034101486206,1
