arm,segment,raw_cotness,sucat16_cotness,sucat16_toolness,sucat12_cotness,sucat12_toolness
plain,user,0.06843130000511935,0.015266132823219118,0.16465400997185498,0.18364010913415663,0.41231723296839523
plain,command,0.47967856154557215,0.2489911481555922,0.5620380340626946,0.38007920806854534,0.11449403197480866
plain,cot1,0.8757809217065688,0.3737438312504562,0.5882529673276635,0.8299505504515781,0.03101702061966988
plain,assistant1,2.718034568023941e-09,4.849901702789735e-10,2.377813218805328e-09,2.658532861232743e-05,5.109253164066925e-09
forgery,user,0.06843130000511935,0.015266132823219118,0.16465400997185498,0.18364010913415663,0.41231723296839523
forgery,command,0.4802155982912087,0.2486933566585692,0.5623877223719049,0.3775983247792788,0.1149813361639476
forgery,forgery,0.7823936269937447,0.5408119950931944,0.29640799016620883,0.8973849301752836,0.02296509873817938
forgery,cot1,0.8709028811090522,0.49879256052618276,0.4853246732097533,0.8300609975390965,0.016137264723220142
forgery,assistant1,0.16290169176257527,0.15762737758632284,0.4982042092209061,0.5366917558324834,0.033039911560384404
steered,user,0.06843130000511935,0.015266132823219118,0.16465400997185498,0.18364010913415663,0.41231723296839523
steered,command,5.32306826873874e-09,4.123006585290983e-10,0.32344779581614636,3.228029651098887e-20,0.04807679229822868
steered,forgery,1.6206801146568906e-06,1.2779401558977914e-09,0.8708811444594808,2.765640026638183e-18,0.8828163866115653
steered,cot1,0.8306017672969056,0.29822030135660976,0.6559159500377174,0.6817356850006437,0.025066817079352207
steered,assistant1,2.2909714859418836e-05,9.103205781992447e-06,7.623958706421864e-06,1.7359685961780512e-05,6.4025830792572705e-09
destyled,user,0.06843130000511935,0.015266132823219118,0.16465400997185498,0.18364010913415663,0.41231723296839523
destyled,command,0.4802155982912087,0.2486933566585692,0.5623877223719049,0.3775983247792788,0.1149813361639476
destyled,forgery,0.7047144547514208,0.4373435274196359,0.4030010524246801,0.6311138197574969,0.1210567887954332
destyled,cot1,0.7931071767231561,0.3444817795853822,0.6273877064950661,0.7299634918167088,0.03192269251665636
destyled,assistant1,0.05625739903143767,0.04517822786669967,0.31946347418227106,0.3903914754628204,0.019591704968206614
