probe,activation_site,layer,balanced_accuracy,nll,uniform_nll,n_train_tokens,n_test_tokens
pilot_binary,pre_mlp,12,0.994646680942184,0.0545369145705531,0.6931471805599453,3666,934
pilot_binary,pre_mlp,16,0.9989293361884368,0.0192131089463936,0.6931471805599453,3666,934
pilot_binary,block_output,12,0.9914346895074946,0.0593445099269049,0.6931471805599453,3666,934
pilot_binary,block_output,16,0.9925053533190578,0.0277632069899017,0.6931471805599453,3666,934
compact_system_user_cot_assistant,pre_mlp,12,0.7528665028665029,0.7106293460897243,1.3862943611198906,18036,4884
compact_system_user_cot_assistant,pre_mlp,16,0.9009009009009008,0.2832568825076976,1.3862943611198906,18036,4884
compact_system_user_cot_assistant,block_output,12,0.7375102375102376,0.7602847309076435,1.3862943611198906,18036,4884
compact_system_user_cot_assistant,block_output,16,0.8722358722358723,0.3653962940667761,1.3862943611198906,18036,4884
