layer_ix,role_space,local_fit_index,local_accuracy_log_rounded,local_nll_log_rounded,local_test_token_rows,reference_correct_tokens,reference_test_token_rows,reference_accuracy_from_confusions,difference_percentage_points,absolute_difference_percentage_points,denominators_equal,reference_rounds_to_local_log_accuracy,local_warning_count
12,ua,193,0.875,0.37,25732,22516,25732,0.875019431058604,-0.001943105860402472,0.001943105860402472,True,True,1
12,uat,194,0.801,0.549,41719,33433,41719,0.8013854598624128,-0.038545986241278474,0.038545986241278474,True,True,1
12,uca,195,0.773,0.601,41719,32241,41719,0.7728133464368753,0.018665356312475012,0.018665356312475012,True,True,1
12,ucat,196,0.675,0.788,53615,36185,53615,0.6749044110789891,0.009558892101091399,0.009558892101091399,True,True,1
12,sua,197,0.701,0.789,41719,29264,41719,0.7014549725544715,-0.04549725544715777,0.04549725544715777,True,True,1
12,suat,198,0.718,0.691,53615,38479,53615,0.7176909446983121,0.03090553016878994,0.03090553016878994,True,True,0
12,suca,199,0.703,0.727,53615,37711,53615,0.7033665951692624,-0.0366595169262407,0.0366595169262407,True,True,1
12,sucat,200,0.595,1.115,67727,40279,67727,0.5947258848022207,0.027411519777931215,0.027411519777931215,True,True,1
