activation_site,layer,metric,bootstrap_unit,replicates,estimate,ci_low,ci_high
pre_mlp,8,absolute_axis_pc1_cosine,persona,200,0.0980378750644916,0.030204410936078323,0.6680171028913733
pre_mlp,8,axis_norm,persona,200,5.34394409621856,4.5164147075149215,7.467441523603541
pre_mlp,9,absolute_axis_pc1_cosine,persona,200,0.07678080200856584,0.005106266086298398,0.6375691392168679
pre_mlp,9,axis_norm,persona,200,6.324783228636347,5.478484545225952,8.550707455545496
pre_mlp,10,absolute_axis_pc1_cosine,persona,200,0.1494489603401953,0.007812658658892767,0.5855462008222471
pre_mlp,10,axis_norm,persona,200,6.73016485516666,5.7857609595155495,8.87186496119044
pre_mlp,11,absolute_axis_pc1_cosine,persona,200,0.1523541676817436,0.016160662370544004,0.5690523663007773
pre_mlp,11,axis_norm,persona,200,7.333398373758654,6.421095761073622,9.557838737428002
pre_mlp,12,absolute_axis_pc1_cosine,persona,200,0.12654666669898143,0.005090272162047202,0.6548036348336251
pre_mlp,12,axis_norm,persona,200,8.128258596667196,7.203089346770292,10.791989365354413
pre_mlp,13,absolute_axis_pc1_cosine,persona,200,0.04236100036369277,0.007411855217774507,0.6212713787766625
pre_mlp,13,axis_norm,persona,200,8.746341568568097,7.54184227417121,11.787212219768964
pre_mlp,14,absolute_axis_pc1_cosine,persona,200,0.08800160086009297,0.007954222597027072,0.7162372159026499
pre_mlp,14,axis_norm,persona,200,9.30803138209633,7.929219640941229,12.64223309435699
pre_mlp,15,absolute_axis_pc1_cosine,persona,200,0.16450281192913002,0.009295117395955217,0.712761354202405
pre_mlp,15,axis_norm,persona,200,9.659748518182393,8.200035093716059,13.442785018890683
pre_mlp,16,absolute_axis_pc1_cosine,persona,200,0.19781131546123482,0.010401117336466478,0.7102667369274908
pre_mlp,16,axis_norm,persona,200,8.991093884311447,7.732246692364663,12.45808532533632
pre_mlp,17,absolute_axis_pc1_cosine,persona,200,0.2805016800277297,0.019688400112691636,0.6933002122011654
pre_mlp,17,axis_norm,persona,200,9.649364288601996,7.941590925343702,13.424981315177122
pre_mlp,18,absolute_axis_pc1_cosine,persona,200,0.38767219644800116,0.0321034104276621,0.7614252691303472
pre_mlp,18,axis_norm,persona,200,9.646952996467942,7.726917475335661,13.12132725660392
pre_mlp,19,absolute_axis_pc1_cosine,persona,200,0.33170757868022066,0.025963859517969805,0.7544654922226957
pre_mlp,19,axis_norm,persona,200,9.167637803230926,7.6750728565184785,12.57044628723574
pre_mlp,20,absolute_axis_pc1_cosine,persona,200,0.26065948691523483,0.031169487414178455,0.724147627603621
pre_mlp,20,axis_norm,persona,200,9.118806424892231,7.511853014150715,13.087704881879386
block_output,8,absolute_axis_pc1_cosine,persona,200,0.2334327898724085,0.028990723683631398,0.7466944052711455
block_output,8,axis_norm,persona,200,98.27155013412188,81.28569413058139,131.4776716132566
block_output,9,absolute_axis_pc1_cosine,persona,200,0.047099506278515994,0.01670004463915274,0.6573693092190379
block_output,9,axis_norm,persona,200,123.86685324310218,105.0868112224919,168.0539253479115
block_output,10,absolute_axis_pc1_cosine,persona,200,0.042496791316761574,0.00319089664692572,0.6753524624207793
block_output,10,axis_norm,persona,200,151.60913264971452,130.63211675651775,194.8011163872093
block_output,11,absolute_axis_pc1_cosine,persona,200,0.08142788479622787,0.008888870125421895,0.745952621367354
block_output,11,axis_norm,persona,200,175.91473791327738,152.7521262254536,244.52529855422844
block_output,12,absolute_axis_pc1_cosine,persona,200,0.0604357306780283,0.012121225611616436,0.6591960090036296
block_output,12,axis_norm,persona,200,218.67355951395828,190.19874193352618,287.351904846914
block_output,13,absolute_axis_pc1_cosine,persona,200,0.014259612600529232,0.00783863082564498,0.657378711091768
block_output,13,axis_norm,persona,200,259.66572799739015,220.60806794366795,338.25351565031826
block_output,14,absolute_axis_pc1_cosine,persona,200,0.11019894339953934,0.015339705701488314,0.7315518540661272
block_output,14,axis_norm,persona,200,314.9183739836002,267.8797490876215,423.38536545423796
block_output,15,absolute_axis_pc1_cosine,persona,200,0.2604264290922557,0.011523688672424984,0.7509698724612361
block_output,15,axis_norm,persona,200,397.24412990852824,330.43239008308996,539.3615031062274
block_output,16,absolute_axis_pc1_cosine,persona,200,0.3223187885362449,0.023003104330731206,0.7402238531719166
block_output,16,axis_norm,persona,200,498.3059432245179,428.99922006038514,682.7360001297616
block_output,17,absolute_axis_pc1_cosine,persona,200,0.4519173799052322,0.035280354717257725,0.7808658738757054
block_output,17,axis_norm,persona,200,713.8318241220786,569.6402966568213,989.3638621850139
block_output,18,absolute_axis_pc1_cosine,persona,200,0.6170148930900115,0.0312973433937304,0.7963002511687562
block_output,18,axis_norm,persona,200,946.5747010602388,792.5316300417992,1294.2401988570427
block_output,19,absolute_axis_pc1_cosine,persona,200,0.4745072736628595,0.027951477485206128,0.787952144311053
block_output,19,axis_norm,persona,200,1175.373908107065,921.4732409887807,1649.8689076022827
block_output,20,absolute_axis_pc1_cosine,persona,200,0.4417482600526241,0.035119756088366094,0.7816287464066467
block_output,20,axis_norm,persona,200,1458.9458558395058,1166.720218204736,2057.1817119893144
