activation_site,layer,n_personas,axis_pc1_cosine,pc1_explained_variance_ratio,pc2_explained_variance_ratio,pc3_explained_variance_ratio,axis_norm,pc1_alignment,split_half_cosine,heldout_auroc_mean,heldout_balanced_accuracy_mean
pre_mlp,12,10,0.1265466666989814,0.4002369696869249,0.1851278730514772,0.106426326219586,8.128258596667196,weak,0.268257582252387,0.6666666666666666,0.5
pre_mlp,16,10,0.1978113154612348,0.3404451473826027,0.2354333291639717,0.1140351566883421,8.991093884311447,weak,0.3651277583925253,0.8333333333333334,0.5
block_output,12,10,0.0604357306780283,0.3952439829932284,0.2025020396636525,0.1085483229612117,218.67355951395828,weak,0.2869178187321868,0.8333333333333334,0.5
block_output,16,10,0.3223187885362449,0.343265946506921,0.2506681138949015,0.106132739713663,498.3059432245179,weak,0.4039947007881809,0.6666666666666666,0.5
