layer_ix,head,class,accuracy,n_test_tokens
44,user_subtype,user,0.9663722826086957,2944
44,user_subtype,tool,0.9164402173913043,2944
44,assistant_subtype,assistant,0.9327445652173914,2944
44,assistant_subtype,cot,0.9653532608695652,2944
44,leaf_five_way,system,0.9551630434782609,2944
44,leaf_five_way,user,0.9504076086956522,2944
44,leaf_five_way,tool,0.8885869565217391,2944
44,leaf_five_way,cot,0.9045516304347826,2944
44,leaf_five_way,assistant,0.8940217391304348,2944
48,outer_role,system,0.8882472826086957,2944
48,outer_role,user,0.7197690217391305,2944
48,outer_role,assistant,0.5536684782608695,2944
48,user_subtype,user,0.9650135869565217,2944
48,user_subtype,tool,0.9262907608695652,2944
48,assistant_subtype,assistant,0.9385190217391305,2944
48,assistant_subtype,cot,0.9575407608695652,2944
48,leaf_five_way,system,0.9480298913043478,2944
48,leaf_five_way,user,0.9504076086956522,2944
48,leaf_five_way,tool,0.9025135869565217,2944
48,leaf_five_way,cot,0.8936820652173914,2944
48,leaf_five_way,assistant,0.9008152173913043,2944
52,outer_role,system,0.8668478260869565,2944
52,outer_role,user,0.678328804347826,2944
52,outer_role,assistant,0.515625,2944
52,user_subtype,user,0.9239130434782609,2944
52,user_subtype,tool,0.8845108695652174,2944
52,assistant_subtype,assistant,0.9211956521739131,2944
52,assistant_subtype,cot,0.9130434782608695,2944
52,leaf_five_way,system,0.9045516304347826,2944
52,leaf_five_way,user,0.8872282608695652,2944
52,leaf_five_way,tool,0.8396739130434783,2944
52,leaf_five_way,cot,0.8125,2944
52,leaf_five_way,assistant,0.8237092391304348,2944
56,outer_role,system,0.8896059782608695,2944
56,outer_role,user,0.6504755434782609,2944
56,outer_role,assistant,0.5146059782608695,2944
56,user_subtype,user,0.9194972826086957,2944
56,user_subtype,tool,0.8974184782608695,2944
56,assistant_subtype,assistant,0.9239130434782609,2944
56,assistant_subtype,cot,0.9055706521739131,2944
56,leaf_five_way,system,0.8936820652173914,2944
56,leaf_five_way,user,0.8722826086956522,2944
56,leaf_five_way,tool,0.8576766304347826,2944
56,leaf_five_way,cot,0.7911005434782609,2944
56,leaf_five_way,assistant,0.8203125,2944
60,outer_role,system,0.8821331521739131,2944
60,outer_role,user,0.6338315217391305,2944
60,outer_role,assistant,0.5288722826086957,2944
60,user_subtype,user,0.920516304347826,2944
60,user_subtype,tool,0.8913043478260869,2944
60,assistant_subtype,assistant,0.9198369565217391,2944
60,assistant_subtype,cot,0.8889266304347826,2944
60,leaf_five_way,system,0.8923233695652174,2944
60,leaf_five_way,user,0.8787364130434783,2944
60,leaf_five_way,tool,0.8481657608695652,2944
60,leaf_five_way,cot,0.7652853260869565,2944
60,leaf_five_way,assistant,0.7999320652173914,2944
