layer,condition,token_set,smoothing,token_in_prompt_ix,mean,ci_lo,ci_hi,n,input_set
8,none,all,raw,78,0.85405254,0.8244385,0.87661403,3,neutral
8,none,all,raw,79,0.90909964,0.7498805,0.9915492,3,neutral
8,none,all,raw,80,0.8924846,0.7501629,0.9722068,3,neutral
8,none,all,raw,81,0.93344146,0.8348686,0.98742026,3,neutral
8,none,all,raw,82,0.91446286,0.8347769,0.9660049,3,neutral
8,none,all,raw,83,0.9521777,0.90968853,0.9863226,3,neutral
8,none,all,raw,84,0.9099176,0.8465032,0.9578502,3,neutral
8,none,all,raw,85,0.92527825,0.8709926,0.95559496,3,neutral
8,none,all,raw,86,0.91042614,0.8784357,0.9358914,3,neutral
8,none,all,raw,87,0.92586106,0.848388,0.96739966,3,neutral
8,none,all,raw,88,0.7990734,0.7605682,0.8188951,3,neutral
8,none,all,raw,89,0.8834347,0.8261606,0.953391,3,neutral
8,none,all,raw,90,0.8782055,0.77942973,0.9840853,3,neutral
8,none,all,raw,91,0.9249906,0.84852475,0.97020954,3,neutral
8,none,all,raw,92,0.9329451,0.8686855,0.9743748,3,neutral
8,none,all,raw,93,0.819283,0.76507264,0.89659494,3,neutral
8,none,all,raw,94,0.8843806,0.8441534,0.95285434,3,neutral
8,none,all,raw,95,0.87734944,0.8253436,0.96300006,3,neutral
8,none,all,raw,96,0.8177807,0.7921026,0.85957783,3,neutral
8,none,all,raw,97,0.8121298,0.755107,0.84848213,3,neutral
8,none,all,raw,98,0.88239765,0.7321653,0.9596372,3,neutral
8,none,all,raw,99,0.93353516,0.8498146,0.97608215,3,neutral
8,none,all,raw,100,0.88153744,0.7533996,0.9550937,3,neutral
8,none,all,raw,101,0.908492,0.8120753,0.967309,3,neutral
8,none,all,raw,102,0.8931357,0.7584222,0.9900698,3,neutral
8,none,all,raw,103,0.92619205,0.9243415,0.9280426,2,neutral
8,none,all,raw,104,0.93180996,0.8953703,0.9682496,2,neutral
8,none,all,raw,105,0.83560574,0.70315564,0.9680559,2,neutral
8,none,all,raw,106,0.8409282,0.7109071,0.97094923,2,neutral
8,none,all,raw,107,0.5482838,0.5077118,0.5888558,2,neutral
8,none,all,raw,108,0.79264176,0.7207872,0.86449623,2,neutral
8,none,all,raw,109,0.7547885,0.68894273,0.82063437,2,neutral
8,none,all,raw,110,0.83223784,0.7055867,0.95888895,2,neutral
8,none,all,raw,111,0.8706959,0.78182626,0.9595655,2,neutral
8,none,all,raw,112,0.8750198,0.76168495,0.9883547,2,neutral
8,none,all,raw,113,0.6731411,0.4192911,0.92699116,2,neutral
8,none,all,raw,114,0.7541682,0.53607845,0.972258,2,neutral
8,none,all,raw,115,0.9516922,0.93930584,0.9640786,2,neutral
8,none,all,raw,116,0.9151123,0.85150445,0.9787202,2,neutral
8,none,all,raw,117,0.7915918,0.59064454,0.9925391,2,neutral
8,none,all,raw,118,0.85183525,0.7199157,0.9837547,2,neutral
8,none,all,raw,119,0.885785,0.7908632,0.9807068,2,neutral
8,none,all,raw,120,0.8990075,0.8122664,0.9857486,2,neutral
8,none,all,raw,121,0.88864005,0.78090006,0.99638003,2,neutral
8,none,all,raw,122,0.87967443,0.7683924,0.9909565,2,neutral
8,none,all,raw,123,0.85362774,0.77162117,0.9356343,2,neutral
8,none,all,raw,124,0.80278444,0.74584025,0.8597286,2,neutral
8,none,all,raw,125,0.8843618,0.8655058,0.9032178,2,neutral
8,none,all,raw,126,0.8492803,0.7629078,0.9356528,2,neutral
8,none,all,raw,127,0.74254656,0.73798674,0.7471063,2,neutral
8,none,all,raw,128,0.560992,0.54420894,0.5777751,2,neutral
8,none,all,raw,129,0.55711925,0.40758282,0.70665574,2,neutral
8,none,all,raw,130,0.63529885,0.5648364,0.7057614,2,neutral
8,none,all,raw,131,0.7582153,0.7383395,0.77809113,2,neutral
8,none,all,raw,132,0.8447207,0.80823284,0.8812086,2,neutral
8,none,all,raw,133,0.9385356,0.9110752,0.9659959,2,neutral
8,none,all,raw,134,0.88715017,0.80116254,0.97313774,2,neutral
8,none,all,raw,135,0.91052103,0.8903222,0.93071985,2,neutral
8,none,all,raw,136,0.87030905,0.80350745,0.93711066,2,neutral
8,none,all,raw,137,0.9422028,0.90857285,0.9758327,2,neutral
8,none,all,raw,138,0.86750925,0.8155064,0.91951215,2,neutral
8,none,all,raw,139,0.82953,0.7992628,0.8597972,2,neutral
8,none,all,raw,140,0.88959897,0.79121906,0.9879788,2,neutral
8,none,all,raw,141,0.8408421,0.7788254,0.90285885,2,neutral
8,none,all,raw,142,0.9179517,0.8865766,0.94932675,2,neutral
8,none,all,raw,143,0.8656948,0.7747845,0.95660514,2,neutral
8,none,all,raw,144,0.88921404,0.868726,0.909702,2,neutral
8,none,all,raw,145,0.8424296,0.7002328,0.98462635,2,neutral
8,none,all,raw,146,0.911415,0.85270196,0.97012806,2,neutral
8,none,all,raw,147,0.8420942,0.6983364,0.9858519,2,neutral
8,none,all,raw,148,0.8972074,0.81099266,0.9834221,2,neutral
8,none,all,raw,149,0.8932719,0.8238086,0.9627353,2,neutral
8,none,all,raw,150,0.89138454,0.82481414,0.9579549,2,neutral
8,none,all,raw,151,0.9008041,0.8305374,0.9710708,2,neutral
8,none,all,raw,152,0.92075336,0.87062746,0.9708793,2,neutral
8,none,all,raw,153,0.9212989,0.8788813,0.96371657,2,neutral
8,none,all,raw,154,0.950652,0.9333241,0.9679799,2,neutral
8,none,all,raw,155,0.8374232,0.78401303,0.8908334,2,neutral
8,none,all,raw,156,0.8895744,0.84035134,0.9387975,2,neutral
8,none,all,raw,157,0.863827,0.79448026,0.93317366,2,neutral
8,none,all,raw,158,0.96253175,0.9576887,0.9673748,2,neutral
8,none,all,raw,159,0.76869893,0.70430535,0.83309245,2,neutral
8,none,all,raw,160,0.7513909,0.5517266,0.95105517,2,neutral
8,none,all,raw,161,0.82489,0.66144437,0.9883356,2,neutral
8,none,all,raw,162,0.8888643,0.7831438,0.9945846,2,neutral
8,none,all,raw,163,0.7263181,0.5140035,0.93863267,2,neutral
8,none,all,raw,164,0.6400142,0.46626297,0.8137654,2,neutral
8,none,all,raw,165,0.6428315,0.6422812,0.64338183,2,neutral
8,none,all,raw,166,0.8577667,0.7567205,0.9588129,2,neutral
8,none,all,raw,167,0.7379105,0.69017386,0.7856472,2,neutral
8,none,all,raw,168,0.7857928,0.6157799,0.95580584,2,neutral
8,none,all,raw,169,0.8130306,0.65845835,0.9676028,2,neutral
8,none,all,raw,170,0.81571996,0.69456047,0.93687946,2,neutral
8,none,all,raw,171,0.815269,0.6828368,0.9477013,2,neutral
8,none,all,raw,172,0.74697864,0.574834,0.91912323,2,neutral
8,none,all,raw,173,0.88994193,0.8094457,0.97043824,2,neutral
8,none,all,raw,174,0.72736907,0.62701607,0.82772213,2,neutral
8,none,all,raw,175,0.8426731,0.7860468,0.8992994,2,neutral
8,none,all,raw,176,0.86729586,0.8195825,0.91500914,2,neutral
8,none,all,raw,177,0.73911405,0.6204807,0.8577474,2,neutral
8,none,all,raw,178,0.75648713,0.6106682,0.902306,2,neutral
8,none,all,raw,179,0.8566318,0.79512125,0.9181424,2,neutral
8,none,all,raw,180,0.7201031,0.587697,0.85250914,2,neutral
8,none,all,raw,181,0.81619334,0.72674775,0.9056389,2,neutral
8,none,all,raw,182,0.86108243,0.7764235,0.9457413,2,neutral
8,none,all,raw,183,0.52113074,0.20015135,0.84211016,2,neutral
8,none,all,raw,184,0.6923349,0.65313196,0.73153776,2,neutral
8,none,all,raw,185,0.7521556,0.7521556,0.7521556,1,neutral
8,none,all,raw,186,0.82392865,0.82392865,0.82392865,1,neutral
8,none,all,raw,187,0.8271375,0.8271375,0.8271375,1,neutral
8,none,all,raw,188,0.7007938,0.7007938,0.7007938,1,neutral
8,none,all,raw,189,0.95914334,0.95914334,0.95914334,1,neutral
8,none,all,raw,190,0.97970355,0.97970355,0.9797036,1,neutral
8,none,all,raw,191,0.8966061,0.8966061,0.89660615,1,neutral
8,none,all,raw,192,0.9589541,0.9589541,0.9589541,1,neutral
8,none,all,raw,193,0.8312057,0.83120567,0.8312057,1,neutral
8,none,all,raw,194,0.8043537,0.8043537,0.8043537,1,neutral
8,none,all,raw,195,0.89262104,0.89262104,0.89262104,1,neutral
8,none,all,raw,196,0.82446647,0.82446647,0.82446647,1,neutral
8,none,all,raw,197,0.70424443,0.70424443,0.70424443,1,neutral
