activation_site,layer,metric,held_out,value
pre_mlp,10,leave_one_persona_out_cosine,librarian,0.9932234910590447
pre_mlp,10,leave_one_persona_out_cosine,mediator,0.9861952107786536
pre_mlp,10,leave_one_persona_out_cosine,mystic,0.9859593526007486
pre_mlp,10,leave_one_persona_out_cosine,pirate,0.9912322415938684
pre_mlp,10,leave_one_persona_out_cosine,tutor,0.9985226420712536
pre_mlp,10,pairwise_question_cosine,q0_vs_q2,0.19721212103030564
pre_mlp,10,pairwise_question_cosine,q0_vs_q5,0.2522132531603615
pre_mlp,10,pairwise_question_cosine,q0_vs_q51,0.19311835534919664
pre_mlp,10,pairwise_question_cosine,q0_vs_q119,0.20915662804898408
pre_mlp,10,pairwise_question_cosine,q0_vs_q190,0.19289578839747137
pre_mlp,10,pairwise_question_cosine,q2_vs_q5,0.16926073354260113
pre_mlp,10,pairwise_question_cosine,q2_vs_q51,0.16313892310583236
pre_mlp,10,pairwise_question_cosine,q2_vs_q119,0.23168815394173614
pre_mlp,10,pairwise_question_cosine,q2_vs_q190,0.2180991763658222
pre_mlp,10,pairwise_question_cosine,q5_vs_q51,0.25100190831061636
pre_mlp,10,pairwise_question_cosine,q5_vs_q119,0.18673442534500725
pre_mlp,10,pairwise_question_cosine,q5_vs_q190,0.17472916856230186
pre_mlp,10,pairwise_question_cosine,q51_vs_q119,0.14369295847236757
pre_mlp,10,pairwise_question_cosine,q51_vs_q190,0.16268105958583104
pre_mlp,10,pairwise_question_cosine,q119_vs_q190,0.2730689394786541
pre_mlp,10,leave_one_question_out_cosine,q0,0.9534193109195723
pre_mlp,10,leave_one_question_out_cosine,q2,0.9739307216450532
pre_mlp,10,leave_one_question_out_cosine,q5,0.9566716023556223
pre_mlp,10,leave_one_question_out_cosine,q51,0.9438263500167831
pre_mlp,10,leave_one_question_out_cosine,q119,0.9627514484410312
pre_mlp,10,leave_one_question_out_cosine,q190,0.97932554431064
pre_mlp,10,split_half_question_cosine,q0|q5|q119_vs_q2|q51|q190,0.427678039339148
pre_mlp,11,leave_one_persona_out_cosine,anarchist,0.961771797279476
pre_mlp,11,leave_one_persona_out_cosine,bartender,0.9869501891400339
pre_mlp,11,leave_one_persona_out_cosine,comedian,0.9795369092282099
pre_mlp,11,leave_one_persona_out_cosine,consultant,0.9968320353574842
pre_mlp,11,leave_one_persona_out_cosine,devils_advocate,0.9892930510809442
pre_mlp,11,leave_one_persona_out_cosine,engineer,0.995620540370447
pre_mlp,11,leave_one_persona_out_cosine,genie,0.9941437473995134
pre_mlp,11,leave_one_persona_out_cosine,librarian,0.9936342748740113
pre_mlp,11,leave_one_persona_out_cosine,mediator,0.9859814353878239
pre_mlp,11,leave_one_persona_out_cosine,mystic,0.9864767522929907
pre_mlp,11,leave_one_persona_out_cosine,pirate,0.9913197243883713
pre_mlp,11,leave_one_persona_out_cosine,tutor,0.9986851759689889
pre_mlp,11,pairwise_question_cosine,q0_vs_q2,0.22080122311470238
pre_mlp,11,pairwise_question_cosine,q0_vs_q5,0.25567131453400604
pre_mlp,11,pairwise_question_cosine,q0_vs_q51,0.21257032097652914
pre_mlp,11,pairwise_question_cosine,q0_vs_q119,0.22649471860322357
pre_mlp,11,pairwise_question_cosine,q0_vs_q190,0.23086313692515428
pre_mlp,11,pairwise_question_cosine,q2_vs_q5,0.16998786828816817
pre_mlp,11,pairwise_question_cosine,q2_vs_q51,0.15618983853902543
pre_mlp,11,pairwise_question_cosine,q2_vs_q119,0.21882533325347706
pre_mlp,11,pairwise_question_cosine,q2_vs_q190,0.20345386665631165
pre_mlp,11,pairwise_question_cosine,q5_vs_q51,0.24499439126595376
pre_mlp,11,pairwise_question_cosine,q5_vs_q119,0.17916296396555
pre_mlp,11,pairwise_question_cosine,q5_vs_q190,0.16631381913548052
pre_mlp,11,pairwise_question_cosine,q51_vs_q119,0.15032445747283876
pre_mlp,11,pairwise_question_cosine,q51_vs_q190,0.15600332076972082
