activation_site,layer,n_personas,axis_pc1_cosine,pc1_explained_variance_ratio,pc2_explained_variance_ratio,pc3_explained_variance_ratio,axis_norm,pc1_alignment,split_half_cosine,heldout_auroc_mean,heldout_balanced_accuracy_mean
pre_mlp,12,12,0.1125675635114994,0.3185381911136167,0.1997691859530331,0.1167921053710385,5.31630722899908,weak,0.4320553886292835,0.7592592592592593,0.5833333333333333
pre_mlp,16,12,0.6421824124196923,0.2841240118259524,0.2503872141609665,0.1326989115747446,6.398300566089554,moderate,0.5598059989464452,0.8481481481481481,0.5166666666666666
block_output,12,12,0.0241808072750788,0.3007645849123671,0.230804235842821,0.1167400079763865,134.65451175929454,weak,0.3958368698529979,0.7074074074074075,0.5833333333333333
block_output,16,12,0.675798491420575,0.3229501624557483,0.2426587289087192,0.1229110205078789,347.3531132470602,moderate,0.5856633733550018,0.7962962962962963,0.6
