activation_site,layer,persona,family,condition,axis_projection
pre_mlp,14,devils_advocate,spiritual_adversarial,persona,-2.9800747703858095
pre_mlp,14,engineer,ordinary_occupation,persona,3.4996447052957085
pre_mlp,14,genie,theatrical_fictional,persona,-5.590553897819193
pre_mlp,14,librarian,ordinary_occupation,persona,2.211919627042225
pre_mlp,14,mediator,helpful_professional,persona,1.1928549674857503
pre_mlp,14,mystic,spiritual_adversarial,persona,-4.877274305747092
pre_mlp,14,pirate,theatrical_fictional,persona,-4.812470580304985
pre_mlp,14,tutor,helpful_professional,persona,3.173587832361102
pre_mlp,14,default_assistant,default,default,5.183565234752319
pre_mlp,15,anarchist,spiritual_adversarial,persona,-2.372262328846169
pre_mlp,15,bartender,ordinary_occupation,persona,-1.140530411980776
pre_mlp,15,comedian,theatrical_fictional,persona,-9.24353477366714
pre_mlp,15,consultant,helpful_professional,persona,3.229305895349439
pre_mlp,15,devils_advocate,spiritual_adversarial,persona,-3.4504882111187927
pre_mlp,15,engineer,ordinary_occupation,persona,3.4671855407993264
pre_mlp,15,genie,theatrical_fictional,persona,-6.839910754265472
pre_mlp,15,librarian,ordinary_occupation,persona,2.0679817523545947
pre_mlp,15,mediator,helpful_professional,persona,0.9481359240408025
pre_mlp,15,mystic,spiritual_adversarial,persona,-5.50553958786383
pre_mlp,15,pirate,theatrical_fictional,persona,-6.016404450637484
pre_mlp,15,tutor,helpful_professional,persona,2.8985150593520683
pre_mlp,15,default_assistant,default,default,5.037621098265586
pre_mlp,16,anarchist,spiritual_adversarial,persona,-1.2334988345462852
pre_mlp,16,bartender,ordinary_occupation,persona,-0.29814772992658833
pre_mlp,16,comedian,theatrical_fictional,persona,-8.099983547048563
pre_mlp,16,consultant,helpful_professional,persona,3.5970388038114423
pre_mlp,16,devils_advocate,spiritual_adversarial,persona,-2.518596375065949
pre_mlp,16,engineer,ordinary_occupation,persona,3.8893781783459653
pre_mlp,16,genie,theatrical_fictional,persona,-5.72647396337358
pre_mlp,16,librarian,ordinary_occupation,persona,2.623538394181975
pre_mlp,16,mediator,helpful_professional,persona,1.2812858540653311
pre_mlp,16,mystic,spiritual_adversarial,persona,-4.400537909993879
pre_mlp,16,pirate,theatrical_fictional,persona,-4.8100673478973075
pre_mlp,16,tutor,helpful_professional,persona,3.3252229276288703
pre_mlp,16,default_assistant,default,default,5.367397089172401
pre_mlp,17,anarchist,spiritual_adversarial,persona,-1.39691809446118
pre_mlp,17,bartender,ordinary_occupation,persona,0.056933860096889444
pre_mlp,17,comedian,theatrical_fictional,persona,-8.124111109348348
pre_mlp,17,consultant,helpful_professional,persona,4.482372609154527
pre_mlp,17,devils_advocate,spiritual_adversarial,persona,-2.4325527975621664
pre_mlp,17,engineer,ordinary_occupation,persona,4.435667495345238
pre_mlp,17,genie,theatrical_fictional,persona,-6.784138886816393
pre_mlp,17,librarian,ordinary_occupation,persona,3.1331300596209424
pre_mlp,17,mediator,helpful_professional,persona,2.265157984629556
pre_mlp,17,mystic,spiritual_adversarial,persona,-5.286941105291113
pre_mlp,17,pirate,theatrical_fictional,persona,-6.305558078138618
pre_mlp,17,tutor,helpful_professional,persona,4.038203281701648
pre_mlp,17,default_assistant,default,default,6.117007887045303
pre_mlp,18,anarchist,spiritual_adversarial,persona,-1.4704599926209596
pre_mlp,18,bartender,ordinary_occupation,persona,-0.06645673348873377
pre_mlp,18,comedian,theatrical_fictional,persona,-9.115736888490877
pre_mlp,18,consultant,helpful_professional,persona,4.18379700284449
pre_mlp,18,devils_advocate,spiritual_adversarial,persona,-2.8746624885596312
pre_mlp,18,engineer,ordinary_occupation,persona,4.292458055375332
pre_mlp,18,genie,theatrical_fictional,persona,-7.890532444435703
pre_mlp,18,librarian,ordinary_occupation,persona,3.115716119439689
pre_mlp,18,mediator,helpful_professional,persona,2.093280245696541
pre_mlp,18,mystic,spiritual_adversarial,persona,-6.112353724614735
pre_mlp,18,pirate,theatrical_fictional,persona,-7.212880634030531
pre_mlp,18,tutor,helpful_professional,persona,3.586951861126329
pre_mlp,18,default_assistant,default,default,5.669782124293182
pre_mlp,19,anarchist,spiritual_adversarial,persona,-0.19181732374228255
pre_mlp,19,bartender,ordinary_occupation,persona,1.0199187641474166
pre_mlp,19,comedian,theatrical_fictional,persona,-7.249173424900722
pre_mlp,19,consultant,helpful_professional,persona,5.441268742117721
pre_mlp,19,devils_advocate,spiritual_adversarial,persona,-1.127775302779308
pre_mlp,19,engineer,ordinary_occupation,persona,5.653595811194846
pre_mlp,19,genie,theatrical_fictional,persona,-6.188084257469042
pre_mlp,19,librarian,ordinary_occupation,persona,4.372473317741374
pre_mlp,19,mediator,helpful_professional,persona,3.430136981456508
pre_mlp,19,mystic,spiritual_adversarial,persona,-4.304869434290015
pre_mlp,19,pirate,theatrical_fictional,persona,-6.371175148661404
pre_mlp,19,tutor,helpful_professional,persona,4.9645768904393
pre_mlp,19,default_assistant,default,default,6.867368859880761
pre_mlp,20,anarchist,spiritual_adversarial,persona,-0.4631872884083737
pre_mlp,20,bartender,ordinary_occupation,persona,0.755539216264564
pre_mlp,20,comedian,theatrical_fictional,persona,-7.006734596331659
pre_mlp,20,consultant,helpful_professional,persona,4.830943883186744
pre_mlp,20,devils_advocate,spiritual_adversarial,persona,-1.5832987546765172
pre_mlp,20,engineer,ordinary_occupation,persona,5.17059880506868
pre_mlp,20,genie,theatrical_fictional,persona,-6.640166985457397
pre_mlp,20,librarian,ordinary_occupation,persona,4.043916290686182
pre_mlp,20,mediator,helpful_professional,persona,3.0390262657401657
pre_mlp,20,mystic,spiritual_adversarial,persona,-5.163501530081742
pre_mlp,20,pirate,theatrical_fictional,persona,-6.995150465567152
pre_mlp,20,tutor,helpful_professional,persona,4.460628171374582
pre_mlp,20,default_assistant,default,default,6.229926366816471
block_output,8,anarchist,spiritual_adversarial,persona,101.9104307338168
block_output,8,bartender,ordinary_occupation,persona,93.6215669592137
block_output,8,comedian,theatrical_fictional,persona,29.358324758096416
block_output,8,consultant,helpful_professional,persona,119.51767152178002
block_output,8,devils_advocate,spiritual_adversarial,persona,76.42694315534794
block_output,8,engineer,ordinary_occupation,persona,135.41653417090293
block_output,8,genie,theatrical_fictional,persona,41.95884613551577
block_output,8,librarian,ordinary_occupation,persona,126.20799362635356
block_output,8,mediator,helpful_professional,persona,97.20350233789654
block_output,8,mystic,spiritual_adversarial,persona,54.73913383660011
block_output,8,pirate,theatrical_fictional,persona,54.1934985091345
block_output,8,tutor,helpful_professional,persona,129.40967050063136
block_output,8,default_assistant,default,default,147.3780531904029
block_output,9,anarchist,spiritual_adversarial,persona,107.36878692235211
block_output,9,bartender,ordinary_occupation,persona,98.28888763649431
block_output,9,comedian,theatrical_fictional,persona,33.33023236681713
block_output,9,consultant,helpful_professional,persona,144.99350953822216
block_output,9,devils_advocate,spiritual_adversarial,persona,85.82007879630734
block_output,9,engineer,ordinary_occupation,persona,163.47827983069863
block_output,9,genie,theatrical_fictional,persona,50.54953297202455
block_output,9,librarian,ordinary_occupation,persona,147.781552548011
block_output,9,mediator,helpful_professional,persona,118.4335201619108
block_output,9,mystic,spiritual_adversarial,persona,58.04364673851401
block_output,9,pirate,theatrical_fictional,persona,62.08274358002939
block_output,9,tutor,helpful_professional,persona,155.11755380879444
block_output,9,default_assistant,default,default,179.49558852369876
block_output,10,anarchist,spiritual_adversarial,persona,194.52853071167138
block_output,10,bartender,ordinary_occupation,persona,180.46485239669886
block_output,10,comedian,theatrical_fictional,persona,102.84588970899549
block_output,10,consultant,helpful_professional,persona,236.28863295599783
block_output,10,devils_advocate,spiritual_adversarial,persona,159.34075846575342
block_output,10,engineer,ordinary_occupation,persona,255.7839954823499
block_output,10,genie,theatrical_fictional,persona,126.60189039518238
block_output,10,librarian,ordinary_occupation,persona,235.59079719374614
block_output,10,mediator,helpful_professional,persona,198.5911020630957
block_output,10,mystic,spiritual_adversarial,persona,137.33654881656335
block_output,10,pirate,theatrical_fictional,persona,144.006474501231
block_output,10,tutor,helpful_professional,persona,250.80788945697404
block_output,10,default_assistant,default,default,281.1116089462017
block_output,11,anarchist,spiritual_adversarial,persona,98.63548288595112
block_output,11,bartender,ordinary_occupation,persona,91.39611397204649
block_output,11,comedian,theatrical_fictional,persona,-2.087331523857209
block_output,11,consultant,helpful_professional,persona,166.2828161293937
block_output,11,devils_advocate,spiritual_adversarial,persona,72.68162756454926
block_output,11,engineer,ordinary_occupation,persona,180.08402868162864
block_output,11,genie,theatrical_fictional,persona,30.092949760512482
block_output,11,librarian,ordinary_occupation,persona,153.69926094758458
block_output,11,mediator,helpful_professional,persona,118.68293157832592
block_output,11,mystic,spiritual_adversarial,persona,36.160887656441474
block_output,11,pirate,theatrical_fictional,persona,46.793373849640055
block_output,11,tutor,helpful_professional,persona,174.90137634561316
block_output,11,default_assistant,default,default,209.74785612491408
block_output,12,anarchist,spiritual_adversarial,persona,217.55665142676528
block_output,12,bartender,ordinary_occupation,persona,205.04829882994198
block_output,12,comedian,theatrical_fictional,persona,84.16135566156217
block_output,12,consultant,helpful_professional,persona,287.50375044742657
block_output,12,devils_advocate,spiritual_adversarial,persona,176.62328568822625
block_output,12,engineer,ordinary_occupation,persona,309.89278670401984
block_output,12,genie,theatrical_fictional,persona,132.73955593322725
block_output,12,librarian,ordinary_occupation,persona,283.3558794323319
block_output,12,mediator,helpful_professional,persona,222.79305405246782
block_output,12,mystic,spiritual_adversarial,persona,143.7855015700389
block_output,12,pirate,theatrical_fictional,persona,158.100106645824
block_output,12,tutor,helpful_professional,persona,299.44046219901804
block_output,12,default_assistant,default,default,344.73790451705986
block_output,13,anarchist,spiritual_adversarial,persona,14.684386049032787
block_output,13,bartender,ordinary_occupation,persona,31.134129197331312
block_output,13,comedian,theatrical_fictional,persona,-140.07235967006676
block_output,13,consultant,helpful_professional,persona,138.38155991346667
block_output,13,devils_advocate,spiritual_adversarial,persona,-2.704573880668079
block_output,13,engineer,ordinary_occupation,persona,156.20473371768867
block_output,13,genie,theatrical_fictional,persona,-82.23700731966287
block_output,13,librarian,ordinary_occupation,persona,123.40283810216573
block_output,13,mediator,helpful_professional,persona,74.58847528102137
block_output,13,mystic,spiritual_adversarial,persona,-66.27837077135716
block_output,13,pirate,theatrical_fictional,persona,-63.54688029571254
block_output,13,tutor,helpful_professional,persona,146.3903691326276
block_output,13,default_assistant,default,default,198.3865158191632
block_output,14,anarchist,spiritual_adversarial,persona,270.2464444916146
block_output,14,bartender,ordinary_occupation,persona,281.1069739455912
block_output,14,comedian,theatrical_fictional,persona,49.93112119028194
block_output,14,consultant,helpful_professional,persona,414.1423681075855
block_output,14,devils_advocate,spiritual_adversarial,persona,227.82465955680968
block_output,14,engineer,ordinary_occupation,persona,431.2988790282843
block_output,14,genie,theatrical_fictional,persona,131.43386948530244
block_output,14,librarian,ordinary_occupation,persona,399.0991712668815
block_output,14,mediator,helpful_professional,persona,336.72820970394145
block_output,14,mystic,spiritual_adversarial,persona,167.3979659646581
block_output,14,pirate,theatrical_fictional,persona,159.0839744252081
block_output,14,tutor,helpful_professional,persona,414.5545999436638
block_output,14,default_assistant,default,default,483.22930305175475
block_output,15,anarchist,spiritual_adversarial,persona,337.3751783237925
block_output,15,bartender,ordinary_occupation,persona,352.727328406821
block_output,15,comedian,theatrical_fictional,persona,-7.193542009078627
block_output,15,consultant,helpful_professional,persona,529.6011559698293
block_output,15,devils_advocate,spiritual_adversarial,persona,281.3865507934329
block_output,15,engineer,ordinary_occupation,persona,544.8935723417762
block_output,15,genie,theatrical_fictional,persona,121.97804277759177
block_output,15,librarian,ordinary_occupation,persona,501.4352127481643
block_output,15,mediator,helpful_professional,persona,430.54988673589236
block_output,15,mystic,spiritual_adversarial,persona,182.46861597743535
block_output,15,pirate,theatrical_fictional,persona,161.74642002717428
block_output,15,tutor,helpful_professional,persona,521.4528247723479
block_output,15,default_assistant,default,default,606.6492172933235
block_output,16,anarchist,spiritual_adversarial,persona,638.2551223787355
block_output,16,bartender,ordinary_occupation,persona,648.7721786052706
block_output,16,comedian,theatrical_fictional,persona,177.6526823519771
block_output,16,consultant,helpful_professional,persona,861.1269514041064
block_output,16,devils_advocate,spiritual_adversarial,persona,534.2241994161157
block_output,16,engineer,ordinary_occupation,persona,886.1220015487651
block_output,16,genie,theatrical_fictional,persona,363.68933868945703
block_output,16,librarian,ordinary_occupation,persona,836.9287440628474
block_output,16,mediator,helpful_professional,persona,718.7839498519218
block_output,16,mystic,spiritual_adversarial,persona,448.4912063866339
block_output,16,pirate,theatrical_fictional,persona,417.54910120630234
block_output,16,tutor,helpful_professional,persona,840.0228689102335
block_output,16,default_assistant,default,default,961.6546410521441
block_output,17,anarchist,spiritual_adversarial,persona,399.91248362521526
block_output,17,bartender,ordinary_occupation,persona,475.50541959095654
block_output,17,comedian,theatrical_fictional,persona,-205.4544879014296
block_output,17,consultant,helpful_professional,persona,782.1156115606735
block_output,17,devils_advocate,spiritual_adversarial,persona,260.1135305219047
block_output,17,engineer,ordinary_occupation,persona,798.1696346347869
block_output,17,genie,theatrical_fictional,persona,-56.87180193828594
block_output,17,librarian,ordinary_occupation,persona,730.6499882449793
block_output,17,mediator,helpful_professional,persona,610.4089481073295
block_output,17,mystic,spiritual_adversarial,persona,73.35699651404875
block_output,17,pirate,theatrical_fictional,persona,-12.965283739320917
block_output,17,tutor,helpful_professional,persona,740.5832038736858
block_output,17,default_assistant,default,default,908.0420900569447
block_output,18,anarchist,spiritual_adversarial,persona,817.507473536677
block_output,18,bartender,ordinary_occupation,persona,864.7913364654189
block_output,18,comedian,theatrical_fictional,persona,-188.61617874135612
block_output,18,consultant,helpful_professional,persona,1271.3999427429085
block_output,18,devils_advocate,spiritual_adversarial,persona,546.4494127817245
block_output,18,engineer,ordinary_occupation,persona,1301.6632100029065
block_output,18,genie,theatrical_fictional,persona,96.41496480723193
block_output,18,librarian,ordinary_occupation,persona,1214.948311940468
block_output,18,mediator,helpful_professional,persona,1048.5837804292964
block_output,18,mystic,spiritual_adversarial,persona,331.5454846512346
block_output,18,pirate,theatrical_fictional,persona,123.00532315359662
block_output,18,tutor,helpful_professional,persona,1206.5513005393473
block_output,18,default_assistant,default,default,1422.2373261510888
block_output,19,anarchist,spiritual_adversarial,persona,189.58175035805485
block_output,19,bartender,ordinary_occupation,persona,282.7858393858279
block_output,19,comedian,theatrical_fictional,persona,-905.9858248685766
block_output,19,consultant,helpful_professional,persona,800.4278210491535
block_output,19,devils_advocate,spiritual_adversarial,persona,-64.38991943308336
block_output,19,engineer,ordinary_occupation,persona,895.6148177933474
block_output,19,genie,theatrical_fictional,persona,-697.6598639882149
block_output,19,librarian,ordinary_occupation,persona,761.2056168445168
block_output,19,mediator,helpful_professional,persona,530.48521252916
block_output,19,mystic,spiritual_adversarial,persona,-468.2813382128829
block_output,19,pirate,theatrical_fictional,persona,-740.6948249364427
block_output,19,tutor,helpful_professional,persona,752.829663719691
block_output,19,default_assistant,default,default,988.6741731742327
block_output,20,anarchist,spiritual_adversarial,persona,893.4520577150993
block_output,20,bartender,ordinary_occupation,persona,1072.1705071580277
block_output,20,comedian,theatrical_fictional,persona,-359.368276825946
block_output,20,consultant,helpful_professional,persona,1712.098063597076
block_output,20,devils_advocate,spiritual_adversarial,persona,620.4084503233951
block_output,20,engineer,ordinary_occupation,persona,1855.8326273976002
block_output,20,genie,theatrical_fictional,persona,-170.04724371576933
block_output,20,librarian,ordinary_occupation,persona,1680.5700126680056
block_output,20,mediator,helpful_professional,persona,1367.3097103067776
block_output,20,mystic,spiritual_adversarial,persona,132.49774191582327
block_output,20,pirate,theatrical_fictional,persona,-202.444999673961
block_output,20,tutor,helpful_professional,persona,1637.4734804392037
block_output,20,default_assistant,default,default,1919.4324712396788
