activation_site,layer,n_personas,axis_pc1_cosine,pc1_explained_variance_ratio,pc2_explained_variance_ratio,pc3_explained_variance_ratio,axis_norm,pc1_alignment
pre_mlp,8,12,0.47936001186742966,0.2814889811871036,0.2534338207723738,0.125769093285842,3.5400249435065483,weak
pre_mlp,9,12,0.0890080272933806,0.30411435314159574,0.21320773627694556,0.11566737852839067,4.238854953316427,weak
pre_mlp,10,12,0.07212837142705579,0.3159515652170009,0.19222241952123711,0.12137810267318577,4.394696848723892,weak
pre_mlp,11,12,0.11080421131715575,0.31978890355313444,0.18211703776110147,0.12257829480126409,4.961082210488998,weak
pre_mlp,12,12,0.11256756351149946,0.31853819111361675,0.1997691859530331,0.11679210537103851,5.31630722899908,weak
pre_mlp,13,12,0.14670208695009404,0.29517462433836633,0.21708465010963315,0.12461341769506999,5.981150897174761,weak
pre_mlp,14,12,0.19686004883595673,0.27273133122951093,0.25153132026679614,0.12793756821286023,6.489667085902092,weak
pre_mlp,15,12,0.6710442767303937,0.2811018430965736,0.2565508306715822,0.12892034211843348,6.867416594873371,moderate
pre_mlp,16,12,0.6421824124196923,0.2841240118259524,0.2503872141609665,0.1326989115747446,6.398300566089554,moderate
pre_mlp,17,12,0.7382989532614986,0.28141717146609196,0.23808241669980013,0.14565287077632888,7.110237466201639,moderate
pre_mlp,18,12,0.7754948598073352,0.3077274042851855,0.2326463929680569,0.14568245059906929,7.125688745429664,moderate
pre_mlp,19,12,0.7641436572644881,0.2866462703532675,0.22157087398697478,0.14631656560352557,6.913279231360894,moderate
pre_mlp,20,12,0.7761868082593978,0.27702265136196225,0.22944207700837402,0.1488777209930409,6.692541969359576,moderate
block_output,8,12,0.6258617624057263,0.301059428312563,0.24920000413914956,0.12911480498136882,59.047705708896146,moderate
block_output,9,12,0.04696559989259095,0.2748288321530694,0.25456529755536134,0.12040818329535634,77.38822410516495,weak
block_output,10,12,0.0039896960633619164,0.2876716147287355,0.23574140254378484,0.12490727765181629,95.92931237728158,weak
block_output,11,12,0.03480632229861877,0.29570525051935104,0.2286898552710479,0.12288480759354269,112.47088599331838,weak
block_output,12,12,0.024180807275078837,0.3007645849123671,0.230804235842821,0.1167400079763865,134.65451175929454,weak
block_output,13,12,0.0886688130939407,0.2860717036102907,0.2415486045212438,0.1268615123600036,170.89090061127033,weak
block_output,14,12,0.47891606647489093,0.27305558070914976,0.2668298132097479,0.12354483736425012,209.6586234336747,weak
block_output,15,12,0.6928592774298296,0.3092606934021355,0.24769347752553278,0.12598410703098314,276.78077618788717,moderate
block_output,16,12,0.675798491420575,0.32295016245574837,0.24265872890871926,0.12291102050787894,347.3531132470602,moderate
block_output,17,12,0.7662168175838028,0.3170348646170613,0.23091123727879292,0.13759782879633908,525.0817543786329,moderate
block_output,18,12,0.7617724773901128,0.352859625527264,0.2184486952131903,0.13741897956724797,702.7169720674428,moderate
block_output,19,12,0.775765680707278,0.3151915556313262,0.21872012475604558,0.14210311046246177,877.3475774483056,moderate
block_output,20,12,0.7780247323407672,0.32112465509875565,0.22865335660429026,0.1386403083552012,1066.1031605518742,moderate
