layer,condition,token_set,smoothing,token_in_prompt_ix,mean,ci_lo,ci_hi,n,input_set
8,none,all,raw,78,0.74133885,0.7059108,0.77233404,189,neutral
8,none,all,raw,79,0.73789436,0.70642096,0.7771379,188,neutral
8,none,all,raw,80,0.7647662,0.73481417,0.79940987,188,neutral
8,none,all,raw,81,0.75702167,0.71871936,0.7940912,188,neutral
8,none,all,raw,82,0.74341244,0.7072789,0.7773398,188,neutral
8,none,all,raw,83,0.762693,0.7273859,0.7960522,188,neutral
8,none,all,raw,84,0.7500153,0.71700305,0.7881396,188,neutral
8,none,all,raw,85,0.752291,0.7187453,0.7869064,188,neutral
8,none,all,raw,86,0.7490208,0.7152967,0.7808779,188,neutral
8,none,all,raw,87,0.7286768,0.6853002,0.7641571,188,neutral
8,none,all,raw,88,0.74528974,0.7040367,0.78149724,188,neutral
8,none,all,raw,89,0.7536008,0.7167061,0.789994,188,neutral
8,none,all,raw,90,0.7224467,0.6923725,0.75734806,188,neutral
8,none,all,raw,91,0.7227801,0.68615216,0.76067275,188,neutral
8,none,all,raw,92,0.7579023,0.72499925,0.8007616,187,neutral
8,none,all,raw,93,0.76862234,0.7336021,0.8020828,187,neutral
8,none,all,raw,94,0.73338246,0.6932417,0.77584994,187,neutral
8,none,all,raw,95,0.7364162,0.6995076,0.77933204,186,neutral
8,none,all,raw,96,0.73507196,0.69732875,0.7781011,186,neutral
8,none,all,raw,97,0.7441471,0.69933426,0.7778323,186,neutral
8,none,all,raw,98,0.74032134,0.7065762,0.7764597,184,neutral
8,none,all,raw,99,0.70853823,0.66768086,0.74627316,184,neutral
8,none,all,raw,100,0.704883,0.6672236,0.744718,184,neutral
8,none,all,raw,101,0.7389354,0.7053008,0.7766002,184,neutral
8,none,all,raw,102,0.72137004,0.68158114,0.76322764,184,neutral
8,none,all,raw,103,0.72144115,0.68132,0.75943637,183,neutral
8,none,all,raw,104,0.7135535,0.67610574,0.75389016,183,neutral
8,none,all,raw,105,0.7387221,0.7027019,0.7721439,183,neutral
8,none,all,raw,106,0.7349684,0.69597536,0.7767177,183,neutral
8,none,all,raw,107,0.726392,0.68808085,0.76156175,183,neutral
8,none,all,raw,108,0.7404601,0.70203996,0.7760213,183,neutral
8,none,all,raw,109,0.7188788,0.6889802,0.7526569,183,neutral
8,none,all,raw,110,0.7149259,0.6760318,0.75645405,183,neutral
8,none,all,raw,111,0.72492623,0.6890598,0.7659833,182,neutral
8,none,all,raw,112,0.72173333,0.6795075,0.75602907,182,neutral
8,none,all,raw,113,0.7245748,0.6836308,0.7632994,182,neutral
8,none,all,raw,114,0.7452069,0.71708477,0.7821101,182,neutral
8,none,all,raw,115,0.74757445,0.7121133,0.7797802,181,neutral
8,none,all,raw,116,0.6782489,0.6432841,0.72463775,181,neutral
8,none,all,raw,117,0.7253011,0.6877899,0.7669992,181,neutral
8,none,all,raw,118,0.73333335,0.69443023,0.7691043,181,neutral
8,none,all,raw,119,0.7365799,0.69956136,0.7692868,180,neutral
8,none,all,raw,120,0.73911464,0.70139545,0.7728704,180,neutral
8,none,all,raw,121,0.7121824,0.66843295,0.7514169,178,neutral
8,none,all,raw,122,0.7275154,0.6862947,0.7677905,178,neutral
8,none,all,raw,123,0.7021746,0.66102934,0.73793405,178,neutral
8,none,all,raw,124,0.735281,0.6958765,0.7706408,178,neutral
8,none,all,raw,125,0.7198522,0.67626464,0.75539416,176,neutral
8,none,all,raw,126,0.7432447,0.7023613,0.7780866,175,neutral
8,none,all,raw,127,0.75836855,0.7187776,0.79327756,175,neutral
8,none,all,raw,128,0.7376859,0.70176715,0.7743985,175,neutral
8,none,all,raw,129,0.7400137,0.6992341,0.776572,175,neutral
8,none,all,raw,130,0.70734644,0.6740132,0.7447967,175,neutral
8,none,all,raw,131,0.74029714,0.7052935,0.77364653,174,neutral
8,none,all,raw,132,0.764734,0.7317858,0.7942254,174,neutral
8,none,all,raw,133,0.7353054,0.701984,0.76996666,173,neutral
8,none,all,raw,134,0.75246894,0.7150913,0.79790723,173,neutral
8,none,all,raw,135,0.7647596,0.7300836,0.80249673,173,neutral
8,none,all,raw,136,0.7225207,0.6843342,0.7605783,173,neutral
8,none,all,raw,137,0.7346751,0.696886,0.7685421,173,neutral
8,none,all,raw,138,0.74262553,0.70237917,0.7800273,173,neutral
8,none,all,raw,139,0.74619144,0.7106298,0.7780245,172,neutral
8,none,all,raw,140,0.7375022,0.7006966,0.7735765,171,neutral
8,none,all,raw,141,0.7353229,0.69491446,0.7692292,171,neutral
8,none,all,raw,142,0.74243724,0.7057262,0.77353215,171,neutral
8,none,all,raw,143,0.71818876,0.67416775,0.7568646,171,neutral
8,none,all,raw,144,0.747544,0.7101485,0.788294,171,neutral
8,none,all,raw,145,0.7418256,0.7106251,0.7811088,171,neutral
8,none,all,raw,146,0.7402159,0.69606936,0.774588,170,neutral
8,none,all,raw,147,0.73287314,0.6918654,0.77338415,170,neutral
8,none,all,raw,148,0.73719156,0.701895,0.77259064,170,neutral
8,none,all,raw,149,0.7472791,0.7081591,0.7862148,170,neutral
8,none,all,raw,150,0.7472012,0.7064935,0.78366226,169,neutral
8,none,all,raw,151,0.7296477,0.6869869,0.7613557,169,neutral
8,none,all,raw,152,0.7135766,0.6746291,0.7481126,169,neutral
8,none,all,raw,153,0.7426901,0.70209575,0.778991,169,neutral
8,none,all,raw,154,0.7516599,0.7201994,0.7804609,169,neutral
8,none,all,raw,155,0.7381421,0.7058682,0.7772223,169,neutral
8,none,all,raw,156,0.7553658,0.7197836,0.78958064,169,neutral
8,none,all,raw,157,0.732166,0.6905478,0.76983744,169,neutral
8,none,all,raw,158,0.7184933,0.6831511,0.75222784,169,neutral
8,none,all,raw,159,0.7323419,0.69374824,0.76748466,168,neutral
8,none,all,raw,160,0.72732174,0.6877406,0.7627983,168,neutral
8,none,all,raw,161,0.71482587,0.6760527,0.7502688,167,neutral
8,none,all,raw,162,0.71278405,0.6720535,0.75038797,167,neutral
8,none,all,raw,163,0.7204579,0.67204094,0.7582782,167,neutral
8,none,all,raw,164,0.722055,0.6823789,0.7557557,166,neutral
8,none,all,raw,165,0.7287916,0.69014233,0.77032304,165,neutral
8,none,all,raw,166,0.7262771,0.6905911,0.7643464,164,neutral
8,none,all,raw,167,0.7481616,0.7086651,0.78315115,164,neutral
8,none,all,raw,168,0.7239959,0.68076175,0.7636571,164,neutral
8,none,all,raw,169,0.71802825,0.679635,0.75445676,164,neutral
8,none,all,raw,170,0.73732746,0.70478755,0.77058387,164,neutral
8,none,all,raw,171,0.7355333,0.69966793,0.77135813,163,neutral
8,none,all,raw,172,0.7518489,0.71877086,0.78860635,163,neutral
8,none,all,raw,173,0.7336857,0.69926625,0.7708111,163,neutral
8,none,all,raw,174,0.7455222,0.70895565,0.77671796,163,neutral
8,none,all,raw,175,0.7391582,0.70187116,0.78039974,162,neutral
8,none,all,raw,176,0.7426683,0.70245034,0.7722913,162,neutral
8,none,all,raw,177,0.72220665,0.6774719,0.7535379,162,neutral
8,none,all,raw,178,0.7116349,0.66968286,0.7401794,162,neutral
8,none,all,raw,179,0.7437864,0.7016758,0.77367955,162,neutral
8,none,all,raw,180,0.72656304,0.68736535,0.7624556,162,neutral
8,none,all,raw,181,0.69972867,0.65955627,0.7360153,162,neutral
8,none,all,raw,182,0.7398841,0.6970879,0.77913684,162,neutral
8,none,all,raw,183,0.74276096,0.70246285,0.77877617,162,neutral
8,none,all,raw,184,0.7156789,0.67842466,0.7512322,162,neutral
8,none,all,raw,185,0.7444795,0.70936924,0.7772414,160,neutral
8,none,all,raw,186,0.7232819,0.6816731,0.7579739,160,neutral
8,none,all,raw,187,0.7419344,0.70685625,0.77399206,160,neutral
8,none,all,raw,188,0.7301539,0.6908265,0.76624525,160,neutral
8,none,all,raw,189,0.6903018,0.6491014,0.7328216,160,neutral
8,none,all,raw,190,0.7197633,0.6790062,0.75306696,160,neutral
8,none,all,raw,191,0.72711325,0.68748134,0.7627214,160,neutral
8,none,all,raw,192,0.6998384,0.65980613,0.7402568,160,neutral
8,none,all,raw,193,0.7338192,0.6907396,0.7711717,160,neutral
8,none,all,raw,194,0.71984905,0.6769544,0.756565,160,neutral
8,none,all,raw,195,0.7117935,0.67481923,0.7457003,160,neutral
8,none,all,raw,196,0.6978372,0.65297127,0.74697083,160,neutral
8,none,all,raw,197,0.6589496,0.6162394,0.7005261,160,neutral
8,none,all,raw,198,0.7263185,0.6886047,0.75494206,160,neutral
8,none,all,raw,199,0.7200297,0.6768902,0.74947804,159,neutral
8,none,all,raw,200,0.72466743,0.6812777,0.76722443,159,neutral
8,none,all,raw,201,0.70195043,0.6569398,0.7411178,159,neutral
8,none,all,raw,202,0.732988,0.68824714,0.77200836,159,neutral
8,none,all,raw,203,0.7186825,0.6732586,0.7586453,159,neutral
8,none,all,raw,204,0.70904684,0.6713941,0.749525,159,neutral
8,none,all,raw,205,0.6875715,0.6459711,0.72195786,159,neutral
8,none,all,raw,206,0.7192896,0.6764891,0.75795287,159,neutral
8,none,all,raw,207,0.74274707,0.7061117,0.77746123,158,neutral
8,none,all,raw,208,0.7228789,0.68764323,0.75836295,158,neutral
8,none,all,raw,209,0.71814287,0.6803998,0.7544167,158,neutral
8,none,all,raw,210,0.7271219,0.6830407,0.7685749,158,neutral
8,none,all,raw,211,0.72805667,0.6885067,0.7639716,158,neutral
8,none,all,raw,212,0.6975094,0.65575445,0.741629,158,neutral
8,none,all,raw,213,0.72070616,0.6711026,0.7578552,157,neutral
8,none,all,raw,214,0.6986528,0.6604544,0.73772925,157,neutral
8,none,all,raw,215,0.7362676,0.6987255,0.771949,155,neutral
8,none,all,raw,216,0.7016065,0.66424227,0.73502743,155,neutral
8,none,all,raw,217,0.739627,0.7037785,0.77179116,155,neutral
8,none,all,raw,218,0.70534295,0.66006947,0.7428495,154,neutral
8,none,all,raw,219,0.7191465,0.67794484,0.7529409,154,neutral
8,none,all,raw,220,0.7044038,0.66156477,0.73911595,154,neutral
8,none,all,raw,221,0.7243836,0.6836588,0.7575485,154,neutral
8,none,all,raw,222,0.72133857,0.6853877,0.76229477,154,neutral
8,none,all,raw,223,0.70264345,0.6617086,0.73736465,154,neutral
8,none,all,raw,224,0.6907894,0.6473863,0.7329827,154,neutral
8,none,all,raw,225,0.68898445,0.6408522,0.73473036,154,neutral
8,none,all,raw,226,0.6846888,0.6425433,0.7207974,153,neutral
8,none,all,raw,227,0.75294036,0.7185649,0.7875972,152,neutral
8,none,all,raw,228,0.74156415,0.7029761,0.78151834,152,neutral
8,none,all,raw,229,0.7192695,0.67072725,0.7579832,152,neutral
8,none,all,raw,230,0.727357,0.6959937,0.7631895,152,neutral
8,none,all,raw,231,0.7059347,0.6625597,0.74166733,151,neutral
8,none,all,raw,232,0.70211285,0.6592398,0.73820484,150,neutral
8,none,all,raw,233,0.7125752,0.6730704,0.7491658,150,neutral
8,none,all,raw,234,0.7161686,0.66916424,0.7459322,150,neutral
8,none,all,raw,235,0.7127404,0.66823816,0.74955076,150,neutral
8,none,all,raw,236,0.71586376,0.67954206,0.7468156,150,neutral
8,none,all,raw,237,0.6874707,0.64169854,0.7229092,150,neutral
8,none,all,raw,238,0.7161874,0.6681667,0.7590893,150,neutral
8,none,all,raw,239,0.7118341,0.6588116,0.7467616,150,neutral
8,none,all,raw,240,0.75155455,0.7083465,0.7861891,150,neutral
8,none,all,raw,241,0.7082447,0.66254747,0.7461049,150,neutral
8,none,all,raw,242,0.71965146,0.68348897,0.75431854,150,neutral
8,none,all,raw,243,0.7160098,0.6725299,0.75411105,150,neutral
8,none,all,raw,244,0.7553679,0.7165709,0.7906964,149,neutral
8,none,all,raw,245,0.73358536,0.6907855,0.7730605,149,neutral
8,none,all,raw,246,0.70882714,0.66574347,0.747648,148,neutral
8,none,all,raw,247,0.7068255,0.6684125,0.74682295,148,neutral
8,none,all,raw,248,0.7307486,0.6933642,0.7665265,147,neutral
8,none,all,raw,249,0.7223507,0.6849583,0.75896055,147,neutral
8,none,content,raw,0,,,,0,neutral
8,none,content,raw,1,0.87288266,0.83585006,0.9088205,200,neutral
8,none,content,raw,2,0.83313537,0.79026407,0.8673861,200,neutral
8,none,content,raw,3,0.8409173,0.80372417,0.87512,200,neutral
8,none,content,raw,4,0.8331411,0.7978219,0.86047655,200,neutral
8,none,content,raw,5,0.81645495,0.7801847,0.8443417,200,neutral
8,none,content,raw,6,0.81236076,0.7802216,0.8415358,200,neutral
8,none,content,raw,7,0.81641334,0.77793586,0.8462364,200,neutral
8,none,content,raw,8,0.77771276,0.7397449,0.8183582,200,neutral
8,none,content,raw,9,0.77316207,0.7349892,0.81351596,200,neutral
8,none,content,raw,10,0.78097427,0.7465849,0.82081026,200,neutral
8,none,content,raw,11,0.7547006,0.7195455,0.80152893,200,neutral
8,none,content,raw,12,0.76767594,0.72292084,0.8076687,200,neutral
8,none,content,raw,13,0.7943018,0.7542765,0.8298732,200,neutral
8,none,content,raw,14,0.7835288,0.74523896,0.8169373,200,neutral
8,none,content,raw,15,0.7980131,0.76024956,0.8358784,200,neutral
