activation_site,layer,n_personas,axis_pc1_cosine,pc1_explained_variance_ratio,pc2_explained_variance_ratio,pc3_explained_variance_ratio,axis_norm,pc1_alignment,split_half_cosine,heldout_auroc_mean,heldout_balanced_accuracy_mean
pre_mlp,12,12,0.6451858765511687,0.2353961343375357,0.1925133180267999,0.1430044972554193,5.012660538786166,moderate,0.5786656013297902,0.8123249299719888,0.6432072829131652
pre_mlp,16,12,0.7197888458259913,0.3208042213739563,0.1906571685136212,0.1388973080933593,6.194472806350708,moderate,0.7000941790053393,0.8368347338935573,0.7685574229691876
pre_mlp,18,12,0.7937069797172176,0.3440833049341328,0.2081962159703485,0.1296703940630723,6.824543709207936,moderate,0.7738959470470832,0.8368347338935573,0.7629551820728291
block_output,12,12,0.6415204955657684,0.2712197824385061,0.1856266181794336,0.1365383947813549,126.6079224256314,moderate,0.5728538759754288,0.7650560224089635,0.6015406162464986
block_output,16,12,0.7153088694485601,0.3596139642453451,0.1854488162596976,0.1249644190021034,332.4123702812704,moderate,0.7099125508915389,0.8368347338935573,0.7268907563025211
block_output,18,12,0.7838033533855153,0.3820013479552143,0.214274597923879,0.1207903774810339,669.1263188681345,moderate,0.7914645650993268,0.8417366946778712,0.7629551820728291
